No,제목,작성일,조회,본문
487,[소식] 루마코리아 2023년 경기도 유공납세자 선정,2023.03.06,7176,"루마코리아는 3 일 납세자의 날을 맞아 지역발전에 기여한 공로로 2023 년 경기도 유공납세자 인증패를 수상했습니다 . 인증패를 수상하는 루마코리아(주,씨피에프) 김승양 전무이사(사진출처:경기뉴스포털) 이날 행사에는 올해 경기도에서 선정된 300 명의 유공납세자 중 시장 · 군수가 추천한 지역을 대표하는 법인 45 개 업체가 초청되었습니다 . 2023 년도 경기도 유공납세자는 매년 1 월 1 일 기준 체납이 없고 최근 7 년간 연도별 4 건 이상의 지방세를 기한 내에 납부한 자를 성실납세자로 선정하고 있으며 이 중 시장 · 군수의 추천을 받아 지역발전에 기여한 공이 크다고 인정되는 납세자를 유공납세자로 별도 선정하였다고 합니다 . 2023년 경기도 유공납세자 인증패 수상업체 단체사진(사진출처:경기뉴스포털)"
486,[소식]루마브랜드 시그니처 캐릭터 '마로' NFT 출시,2023.02.24,2469,🌟마로가 지구별🌎︎에 잘 적응할 수 있도록 가이드가 되어 주세요! 루마버텍스 시그니처 캐릭터 마로와 함께하는First Class NFT 프로젝트우주비행이 함께합니다 🚀 지금 마로 NFT를 확인하고 마로의 지구별 가이드가 되어 주세요🌎︎ https://vertexnft.imweb.me/ #마로 #마로NFT #루마썬팅NFT #NFT #루마버텍스 #루마 #루마썬팅
485,[보도자료]루마 신제품 출시 - 버텍스 매버릭 반사썬팅필름,2023.02.15,8271,"세계 판매 1 위의 윈도우 필름 제조원 미국 루마브랜드에서 버텍스 신제품 출시에 맞춰 '무료체험 썬팅 시공권' 이벤트를 실시한다고 15 일 밝혔다 . 먼저 , 다음달 15 일까지 루마 브랜드를 좋아하는 모든 고객을 대상으로 전국의 루마 버텍스 매장에 숨겨있는 QR 코드를 통한 이벤트를 연다 . 루마 버텍스 시공업체 매장을 방문한 응모자 중에서 총 100 명을 선정하여 최고의 기능성은 물론 주야간 확보된 시인성과 고급 컬러감을 바탕으로 승차감과 하차감까지 갖춘 최고급 반사썬팅필름인 '버텍스 매버릭' 제품의 무료 시공 기회를 제공하고 , 당첨이 되지않은 응모자에게도 최대 30% 할인시공을 받을 수 있는 기회를 전원에게 지급한다 . 한편 , 루마 버텍스 매장을 방문한 응모 고객을 대상으로 고객 방문경험 만족도 조사 이벤트도 함께 진행한다 . 신제품 무료체험 썬팅 시공권 응모를 하고 매장의 서비스 만족도 조사에 참여한 고객을 추첨하여 총 100 명에게 스타벅스 커피쿠폰을 지급한다 . 루마 코리아의 관계자는 "" 그동안 여러 브랜드에서 우후죽순으로 쏟아진 반사썬팅에 대한 부정적인 이미지가 강했다 ” 며 “ 루마 버텍스에서 이런 문제점을 개선한 정확한 자동차 썬팅필름을 소개하고자 특별 이벤트를 마련했다 ” 라고 말했다 . 이번에 새롭게 소개되는 루마의 프리미엄 '버텍스 매버릭'이라는 신제품은 루마의 혁신적인 기술력은 물론 루마 브랜드의 우수성을 제대로 경험할 수 있는 기회가 되어줄 것이라고 내다봤다 . 루마 신제품 무료체험 시공권 이벤트 보러가기 https://blog.naver.com/llumarlloyd/223014356451 루마 (LLUMAR) | 세계최대 제조업체 이스트만 (Eastman ChemicalCompany) 의 대표 브랜드 이스트만 케미컬 컴퍼니 (EastmanChemical Company) 는 1920 년 조지 이스트만 (George Eastman) 에 의해 설립되었고 , 미국 테네시주의킹스포트 (Kingsport, Tennessee, U.S.A.) 에 본사가 있다 . EASTMAN 은 100 여년간 누적된 필름개발 및 제조 기술력으로윈도우 필름 분야에서는 전세계에서 가장 큰 규모로 시장을 선도하고 있다 . 루마 버텍스는 자동차유리 그 이상의 압도적인 시인성 이스트만사의 퍼포먼스필름 사업부는 세계유수의 자동차 메이커 앞유리필수소재인 투명 PVB 필름을 생산하여 세계 50% 시장을점유하고 있다 . 루마버텍스 필름은 이러한 투명필름 제조 기술력과 함께 최상위 수준의 슈퍼 클리어 (super clear) 초투명 베이스 필름을 사용하여 완제품을 생산하기 때문에 프리미엄 가치를 위한자동차유리 그 이상의 압도적인 시인성을 실현하고 있다 ."
484,[이벤트] 루마가 '무료 체험 시공권' 쏩니다! 버텍스 매버릭 런칭 기념 이벤트2 ✨(2/15~3/15),2023.02.14,5471,"루마의 프리미엄 반사썬팅필름 ‘버텍스 매버릭’ 출시를 기념하여 루마가 특별한 이벤트를 준비했습니다. ​ 이번엔 루마가 통 크~게😮 ‘버텍스 매버릭’ 신제품 무료 체험 시공권 쏩니다! ​ 전국 루마버텍스 매장에서 ​ ~무료 체험 시공권~ 을 찾.아.라! ​ (●'◡'●) 👇🏻 참여 방법 👇🏻 루마버텍스 매장에 방문, 매장 내 준비된 QR 코드를 스캔하여 당첨 여부를 확인한다👀 ▼ 당첨일 경우🍀▼ 연락처 입력 후 무료 체험 시공권 GET! 당첨자는 6월 30일 전까지 당첨 매장에서 '버텍스 매버릭'을 무료로 시공 받을 수 있어요 단, 무료시공을 제공받을 경우 특정 해시태그를 포함한 SNS 후기를 업로드 해주기로 약속~🤙🏻 도장 꾹! 👍🏻 ※안내※ 무료 체험 시공권은 SNS 후기 업로드를 조건으로 제공해드리며, 시공 후 SNS 후기를 인증해주신 분들 중 추첨을 통해 5분께 신세계 백화점 상품권 10만 원권을 드립니다 ▼ 꽝일 경우엔? 😢 ▼ 미당첨이어도 실망은 NO NO ☝🏻 안내된 화면에 연락처를 입력하면 추첨을 통해 ‘버텍스 매버릭’ 30% 시공 할인권을 드립니다. (●'◡'●) 👇🏻이벤트 기간👇🏻 2023년 2월 15일(수) ~ 2023년 3월 15일(수) 유의사항 * QR코드를 스캔하면 당첨 여부를 확인할 수 있으며,  3월 31일까지 연락처를 입력해주신 경우에만 사용 가능합니다. * 당첨된 무료 시공권은 2023년 6월 30일까지만 사용할 수 있습니다. * 기간 내 사용하지 않은 할인권 및 무료 시공권은 본사와 매장에서 책임지지 않습니다. * 버텍스 매버릭 30% 할인권의 당첨자는 이벤트가 종료된 후 문자로 개별 안내 드릴 예정입니다. * 당첨된 무료 시공권은 반드시 해당 매장에서만 사용할 수 있으며, 시공 인증 후기를 특정 해시태그와 함께 SNS에 올려 주시는 조건으로 진행됩니다. 추후 SNS인증이 확인된 분들 중 추첨을 통해 5분께 신세계상품권 10만 원권을 드립니다. 루마버텍스 매장 방문하고 '버텍스 매버릭' 무료 체험 시공권의 주인공이 되어보세요! 🍀 신차 썬팅도 재시공 썬팅도 내 차 썬팅은 #루마썬팅 😎"
483,[이벤트] 신제품 '버텍스 매버릭' 런칭 기념 이벤트를 진행합니다🎉 (2/6~2/13),2023.02.06,2445,"2월 15일! 루마썬팅의 신규 프리미엄 윈도우 필름이 출시됩니다🙌 ​ 이스트만의 독보적이고 진보된 기술력으로 새롭게 탄생한 완벽한 썬팅의 콜사인! 고급스럽고 독창적인 컬러의 미러룩으로 내 차를 더욱 돋보이게 하는 반사광을 자랑합니다☺️ ​ 최고 성능의 열반사 광학적 퍼포먼스로 내 차에 완벽한✨ 하차감을 선사할 루마썬팅 신규 필름라인의 이름은 무엇일까요? ​ 𝑯𝒊𝒏𝒕! '개성이 강한',  '독립적인'이라는 뜻의 영어 단어로, 영화 '탑건' 속 톰 크루즈의 콜사인이었죠😉 ​ 전체 공개 댓글로 퀴즈 정답을 맞혀주세요🙌 추첨을 통해 💚50분께 네이버페이 포인트 1만 원권💚을 드립니다! ​ ​ 👇이벤트 확인하기👇 ​ 💚참여방법💚 해당 게시글 내 '전체 댓글'로 퀴즈 정답 기재 ​ 💚이벤트 기간💚 2월 6일(월) ~ 2월 13일(월) ​ 💚당첨자 발표💚 2월 15일(수) ​ 💚이벤트 경품💚 네이버페이 포인트 1만 원권(50명) 💚참여 페이지💚​ blog.naver.com/llumarlloyd/223003066744 [유의사항] *당첨자 발표는 해당 게시물에서 진행됩니다. *중복·부정 당첨 등의 경우 당첨이 취소될 수 있습니다. *당첨자에 한해 경품 발송을 위한 개인정보 활용 동의를 요청할 수 있으며, 동의하지 않을 경우 당첨이 취소될 수 있습니다."
482,"[소식] 2023년 2월 15일, 루마썬팅의 새로운 반사필름이 찾아옵니다",2023.02.02,2771,"안녕하세요, 루마썬팅입니다. 루마 버텍스(VERTEX) 는 완벽한 퀄리티와 세련된 디자인으로 내 차의 하차감을 책임지는 루마썬팅의 ✨프리미엄✨ 필름 라인입니다. 새해를 맞아 신차 썬팅, 또는 썬팅 재시공을 계획 중이시라면 자연히 루마 버텍스 라인에 많은 관심이 가실 텐데요 👀 2023년 2월 15일 , 루마 버텍스라인에 여러분의 선택지를 넓혀줄 새로운 필름이 출시되니까요! -ˏˋ 아래 세 가지 키워드에 주목!!ˎˊ- 어떤 느낌의 제품일 지 감이 좀 오시나요? 오묘하면서 절제된 반사광의 컬러 가 돋보이는 버텍스 매버릭 은 오는 2월 15일 출시 될 예정입니다. 버텍스 매버릭 런칭 기념 #이벤트 도 준비되어 있으니 많은 기대 부탁드립니다 🙌🏻 신차 썬팅도 재시공 썬팅도 내 차 썬팅은 #루마썬팅 😎 ▼ 마이드라이빙 플레이리스트, 루마버텍스 SONG~🎵"
481,"[보도자료] 루마코리아 새해 사자성어, 노적성해(露積成海)로 선정",2022.12.30,1513,"루마코리아는 계묘년 새해 사자성어로 ' 노적성해 ( 露積成海 )' 를 선정했다고 30 일 밝혔다 . 대한민국미술대전(국전) 문인화초대작가, 서예가 우암 김승양 作 (현 루마코리아 영업총괄전무이사) 노적성해 ( 露積成海 ) 는 지속적인 노력과 실천을 통해서 꿈을 이룰 수 있다는 의미로서, 한 방울의 물이 모여서 바다를 이루고 , 손가락 하나의 작은 움직임이라도 그치지 않고 계속될 때 우물에도 소용돌이를 일으킬 수 있듯이 고객 삶의 향상과 고객 만족이라는 공존의 가치를 바탕으로 끊임없는 노력과 작은 실천을 통해 어려운 상황을 슬기롭게 헤쳐나가자는 의미이다 . 루마썬팅은 ""지속되는 경제위기속에 어려움이 있더라도 그것을 뛰어넘어 반드시 희망의 길을 열어가겠다는 의지를 담았다 "" 고 설명했다 . 김승양 영업본부장은 "" 코로나 팬데믹의 그림자가 걷히지 않은 상황속에 내년에도 경기 침체가 지속되는 시기 "" 라며 ""중꺾마, 중요한 것은 꺾이지 않는 마음이다, 실천할수 있는 목표를 세우고 치밀한 계획과 사전 준비를 통한 선제적 대응과 끊임없는 노력과 실천으로 목표 달성을 이루겠다 "" 고 다짐했다 . 루마 (LLUMAR) | 윈도우 필름 세계 최대 제조업체 이스트만 (Eastman ChemicalCompany) 의 대표 브랜드 이스트만 케미컬 컴퍼니 (Eastman Chemical Company) 는 1920 년 조지 이스트만 (George Eastman) 에 의해 설립되었고 , 미국 테네시주의 킹스포트 (Kingsport, Tennessee, U.S.A.) 에 본사가 있다 . EASTMAN 은 100 여년간 누적된 필름개발 및 제조 기술력으로 윈도우 필름 분야에서는 전세계에서 가장 큰 규모로 시장을 선도하고 있다 . 자동차유리 그 이상의 압도적인 시인성 이스트만사의 퍼포먼스필름 사업부는 세계유수의 자동차 메이커 앞유리 필수소재인 투명 PVB 필름을 생산하여 세계 50% 시장을 점유하고 있다 . 루마(루마 & 버텍스) 필름은 이러한 투명필름 제조 기술력과 함께 최상위 수준의 슈퍼 클리어 (superclear) 초투명 베이스 필름을 사용하여 완제품을 생산하기 때문에 프리미엄 가치를 위한 자동차유리 그 이상의 압도적인 시인성을 실현하고 있다 ."
480,[소식] 고투과율 버텍스900 썬팅필름 도입,2022.10.11,9720,"루마코리아는 한문철 TV 와 함께하는 교통안전 '밝은 썬팅 캠페인""을 펼치고 있으며, 이를 위해 루마버텍스900 제품에 가시광선투과율이 높은 제품을 도입했다. 자동차 윈도우 틴팅필름을 시공받으려면 먼저 브랜드를 선택하고 그 다음에 제품을 선택하는데, 이때 썬팅필름의 투과율 즉, 선팅 농도를 무조건 3515(전면 35%, 측면과 후면 15%)의 제품을 선택하거나 시공업체에서도 고객이 원하는대로 추천하는 묻지마 썬팅이 자리잡고 있다. 이런 현상은 실제 현장에서 썬 팅을 하려는 운전자의 90% 이상이 국농이라하는  3515를 선택하는 상황과도 무관하지 않다. 이런 흐름에 따라 시공업체에서는 고객의 니즈가 거의 없는 고투과율 제품이 재고부담으로 작용하여 아예 구비하지 않는 것으로 나타나고 있다. 결국 밝은 썬팅을 원하는 운전자가 있더라도 썬팅 시공업체에서 그런 제품을 보유하고 있지 않기 때문에 운전자는 어쩔 수없이 업체에서 보유하고 있는 제품으로 선택을 하는 악순환이 이어지고 있다. 이런 문제점을 개선하기 위해 루마코리아가 팔을 걷어 부쳤다. 루마코리아에서는 교통안전을 제공할 수 있는 버텍스900의 밝은 썬팅필름을 도입, 일선 루마 버텍스 시공업체에 배급 하고 운전자에게는 한문철tv와 함께 밝은 썬팅을 계도하기로 한 것이다. 미국 현지에서 100% 제조되는 루마 브랜드는 환율 및 제품수급 불안 등 수입제품의 리스크와 관련된 재고비용 부담이 있지만 업계 리딩업체로서 교통안전 캠페인에 적극 참여하기로 한 것이다. 투과율만 높은 선팅 필름은 열차단 기능 및 자외선차단 지속성에 문제가 있다. 상대적으로 루마 버텍스와 같은 고퀄리티 썬팅필름은 투명에 가까운 제품이라도 오히려 가시광선투과율이 낮은 일반 제품과 비교해서 월등한 퍼포먼스를 제공하게 된다. 루마 브랜드의 고효율성 고투과율의 버텍스900 제품에는 가시광선투과율이 30%, 40%, 50%, 80%가 있다. 루마버텍스900의 40%, 50%, 80%의 고투과율 제품으로 시공을 받기 위해서는 가까운 루마버텍스 시공업체에 재고유무를 확인하거나 루마 고객센터에 문의하는 것이 좋다."
479,[소식] 루마코리아와 한문철tv의 밝은 썬팅 캠페인,2022.10.07,8955,"한문철 tv 와 함께하는 밝은 썬팅 캠페인 루마코리아는 지난 4 월 부터 한문철 TV 와 함께 '자동차썬팅, 조금만 더 밝게 썬팅하세요 ~' 라는 슬로건으로 밝은 썬팅 캠페인을 펼쳤다 . 사진출처 : 한문철tv 유튜브 캡쳐 자동차썬팅을 할 때 신차이든 타던 차량이든 소위말하는 국농 즉 , 국민썬팅 농도라고 하는 3515 조합 즉 , 자동차 앞유리 전면썬팅농도 35%, 측후면유리 썬팅농도 15% 의 묻지마 썬팅에 대한 고정관념을 탈피하여 지금보다 더 밝은 썬팅을 함으로써 교통안전 문화조성을 위한 운전자의 동참을 독려하고 있다 . 밝은 썬팅 캠페인은 유튜브 1 백 6 십만 구독자를 보유한 교통안전 전문가 '한문철 TV' 와 세계판매 1 위 업체인 '루마 윈도틴팅필름'이 공동으로 추진했고 , 운전자의 교통안전을 위해 앞으로도 활동을 지속적으로 전개할 것이다 . 한문철 변호사는 “ 밝은 썬팅을 하면 광명을 찾는다 ” 며 “ 지금보다 한 단계만이라도 밝게 썬팅을 하면 사람이 보이고 , 차선이 보이고 , 블랙박스도 더 잘 보이기 때문에 나와 내가족의 안전은 물론 다른 차량의 교통안전에도 도움이 될 것이다 ” 고 말했다 . 이어 루마썬팅 관계자는 “ 열차단때문에 짙은 농도로 선팅을 생각한다면 그럴 필요가 없다 ” 며 “ 가시광선투과율이 높은 밝은 썬팅을 하더라도 루마 버텍스 썬팅의 고효율 퍼포먼스는 그대로 유지되기 때문에 열차단에 대한 걱정을 할 필요가 없다 ” 라고말했다 . 루마코리아에서는 고효율의 프리미엄 썬팅필름인 버텍스 900 제품에 가시광선투과율 40%, 50%, 80% 와 같은 고투과율, 고시인성, 고효율 제품을 구비하여 교통안전문화 조성에 앞장서고 있다 . 한문철 TV 소개 구독자 160 만명인 유튜브 채널 한문철 TV 는 교통사고 전문 한문철 변호사가 교통사고 사례별로 과실비율을 명쾌하게 판단해드리는 방송이다 . https://www.youtube.com/c/%ED%95%9C%EB%AC%B8%EC%B2%A0Live/about 루마썬팅 소개 미국 이스트만사의 퍼포먼스필름 사업부의 프리미엄 윈도틴팅필름 브랜드인 루마썬팅은 글로벌 판매 1 위 브랜드로서 1990 년 초기에 한국시장에 진출하여 지금까지 30 년 가까이 국내영업을 지속하고 있는 가장 신뢰할 수 있는 제조원 브랜드이다 . 자동차썬팅필름 , 건물건축단열필름 , PPF 자동차페인트보호필름 등 다양한 제품을 미국 제조공장에서 직접 생산한다 ."
478,"[소식]미국 루마본사 이스트만 CEO, 2022 국제 팔라듐 메달 수여",2022.09.26,2108,"Société de Chimie Industrielle( 화학산업협회 ) 는 화학 산업에 대한 공헌과 Société de ChimieIndustrielle 의 국제적 목표와 비전을 강화한 리더십을 인정하여 미국 이스트만 이사회 의장이자 CEO 인 마크 J. 코스타 (MarkJ. Costa) 에게 2022 국제 팔라듐 메달을 수여하기로 결정하였다 . 국제 팔라듐 메달은 1958 년에 설립되었으며 1961 년 벨기에의 Ernest-John Solvay 에게 처음 수여되었고 이후에는 미국 , 프랑스 , 영국 및 독일 수상자에게 격년으로 수여되었다 . 이스트만 CEO 코스타는 이스트만의 역대 가장 혁신적인 성장기를 이끈 전략 , 역량 및 결과 중심 문화를 개발하는 데 중요한 역할을 했다 . 그는 M&A를 통해 기업의 포트폴리오를 크게 변화시켰고 , 이를 시작으로 선도적인 소재 혁신 회사로의 변화로 회사를 이끌었다 . 지속 가능한 혁신의 챔피언인 코스타는 국제 폐기물 위기를 해결하고 기후 변화에 의미있게 대처하는 것을 목표로 개발된 이스트만의 분자 재활용 기술의 출시를 감독했다 . 보다 포용적이고 다양성 있는 구성원에 대한 코스타의 열정은 , 모든 직원이 편견이나 차별에 대한 두려움없이 자신의 진정한 자아와 잠재력을 최대한 발휘할 수 있는 환경을 조성하고자 노력하는 보다 더 강력한 회사 문화로 이어졌다 . 이러한 리더십 자질들의 특별한 조합은 Société de Chimie Industrielle 의 목표와 잘 어우러진다 . 코스타는 American Chemistry Council 의 집행 위원회에 소속되어 있다 . 그는 또한 SCI(Society forChemical Industries), The Business Roundtable 및 TheBusiness Council 의 정회원이기도 하다 . Société de Chimie Industrielle 소개 1918 년 뉴욕에서 설립된 Société de Chimie 는 역동적이고 선구적인 산업 조직으로써 장학금 , 멘토십 , 네트워킹 , 심화학습 및 저명한 리더의 인정을 통해 화학 및 생명과학 산업에 대한 관심과 지식 공유를 고무하는 데 전념하는 단체이다 . 특히 , Société 는 화학 및 화학 공학을 공부하는 학생들을 위한 장학금 및 지원금 , 업계 리더 및 업계 전문가를 초청한 오찬 연사 프로그램 , 학생들을 위한 직업 박람회 , 중요 주제를 다루는 웨비나와 같은 비영리활동에 참여하고 있다 . 또한 국제 팔라듐 메달 (InternationalPalladium Medal) 은 개인의 화학 산업에 대한 탁월한 공헌을 인정하여 Société 가 격년으로 수여한다 . Société 에 대한 자세한 내용은 www.societe.org 에서 확인할 수 있다 . 이스트만 소개 1920 년에 설립된 이스트만은 글로벌 특수 소재 회사로써 , 우리가 매일 일상적으로 사용하는 것들에서 발견할 수 있는 광범위한 제품들을 생산한다 . 이스트만의 혁신 중심 성장 모델은 세계적 수준의 기술 플랫폼 , 깊은 고객 참여도 , 차별화된 애플리케이션 개발을 활용하여 운송 , 건축 및 건설 , 소모품과 같은 매력적인 최종 소비자 시장에서의 선도적인 위치를 성장시키고 있다 . 국제적으로 포용적이고 다양성 있는 기업인 이스트만은 전 세계적으로 약 14,000 명의 직원을 고용하고 있으며 100 개 이상의 국가에서 고객에게 서비스를 제공하고 있다 . 이스트만은 2021 년에 약 105 억달러의 매출을 달성하였으며 미국 테네시주 킹스포트에 본사를 두고 있다 ."
477,[공지] 루마버텍스 프리미엄 썬팅시공 최대 36개월 장기분납,2022.01.19,15222,"자동차 썬팅, 목돈 들이지 않고 가능하다고? 썬팅은 선택이 아닌 필수입니다. 하지만 자동차 썬팅가격 때문에 부담 스러워 하시는 분들이 많습니다. 이제, 부담은 떠나보내고 가볍게~ 루마에서 부담없이 자동차 틴팅이 가능합니다! 루마 장기분납(렌탈 서비스)을 이용하시면 프리미엄 버텍스썬팅 을 부담없이 할 수 있습니다. 중고차 및 렌트카 차량에 큰 돈 들이고 싶지 않은 분, 신차에 고급 썬팅을 하고 싶지만 썬팅가격이 부담스러우신 분~ 사랑하는 분을 위해 프리미엄 썬팅을 해주고 싶으신 분~ 이제 루마썬팅에서 한꺼번에 목돈들이지 않고 윈도틴팅필름 시공이 가능합니다. 자동차 썬팅 렌탈, 정확히 어떤 건가요? 자동차 썬팅 렌탈이 조금 생소하신 분들도 계실 텐데요, 초기비용 없이 먼저 시공받고 , 비용은 매월 나눠서 내는 분할납부 입 니다. 약정 기간이 끝난 후에도 반환이나 추가 비용 없이 쭉 사용이 가능합니다! 루마렌탈 서비스는 지정된 루마버텍스점에 직접 방문 하거나 또는, 온라인 신청 중 편하신 방법으로 신청하시면 됩니다. 루마 썬팅 장기납부(렌탈)로 하면 다양한 혜택이 있습니다! 고급 썬팅을 월 2,000원 (제휴카드 할인시) 에 시공이 가능하며 온라인 신청 시 2단계 절차로 간편신청 이 가능합니다! 맞춤 구성으로 전면유리,측후면유리,썬루프,파라노마썬루프와 신차패키지로 블랙박스까지~ 폭넓은 구성과 원하는 조합 으로 시공이 가능합니다. 제휴카드로 결제 시 최대 50만원 할인 은 덤! 제휴카드 월 사용실적 30만원 달성시 렌탈료 월 13,000원까지 할인을 받으면 일시불 결제로 할인받는 금액과 비슷합니다. 오히려 장기분납 렌탈을 이용하시면 최대 36개월까지 비용을 나눠서 내기 때문에 부담이 덜 합니다. 온라인 신청 방법도 아주 간단합니다. 우선 사이트에 접속 후 원하시는 옵션을 클릭하시면 추천 상품이 뜨게 됩니다. 간편렌탈계약 버튼을 눌러 들어간 후 본인 인증을 1차적으로 해주시면 됩니다. 그다음에는 결제 정보를 입력! 벌써 렌트 신청이 끝났습니다! 쉽고 간단한 2단계 온라인 신청으로 자동차 썬팅 렌트 간편하게 해결하시는 것도 좋겠죠?"
