No,제목,작성일,조회,본문
21,"강남,서초 내일 신문에 실린 압구정/대치 대표 인터뷰 입니다.",2010.06.28,5839,"사진 1. 2009년 사진 2. 2010년 1. 앞 유리 썬팅으로 건강하고 시원한 여름 예약 2009-06-10 오전 7:29:03 게재 고성능 루마필름 적자외선 완벽차단, 냉방효과 상승으로 에너지 절감 및 안전도 강화 여름이 되면 누구나 겪는 ‘찜통 같은 차 안’. 숨이 막힐 것 같아 들어가기도 싫고 들어가도 뜨거워서 앉을 수도 없다. 대부분 차를 구입하면 옆 유리를 중심으로 ‘썬팅’이라는 것을 하지만 열 차단은 제대로 되지 않는다는 이야기다. 제대로 된 썬팅이라면 사생활보호는 물론 자외선 차단으로 피부를 보호하며, 열을 포함한 적외선 차단으로는 에너지절감 효과까지 바라볼 수 있어야 한다. 유해광선의 99% 차단 삼성동에 사는 유씨(35)는 유치원생 아이를 둔 주부이다. 한창 더워지는 날씨에 아이를 데리고 차라도 타려면 여간 곤욕스러운 게 아니었다. 더운 날씨에 차안은 이미 찜통이고 그 안에 들어가라고 하면 아이는 자리가 뜨겁다고 운전 중에 서 있곤 했다. 그래서 큰 결심을 하고 전문업체인 루마썬팅에서 앞 유리 썬팅을 하였다. 적외선(열)차단 효과가 75% 이상이라는 소리에 선뜻 결정했는데, 전에 비해 훨씬 차 내부가 시원하고 운전에 방해가 거의 없었다. 이렇게 썬팅 하나 제대로 하고나니 올 여름 아이와의 외출이 겁나지 않았다. ‘썬팅’이라고 해서 모두 똑같은 썬팅이 아니다. 세계적인 윈도우 필름 생산업체인 미국의 CPFlims Inc.에서 제조한 루마필름은 앞 유리 전용 썬팅필름으로 높은 적/자외선 차단효과로 유명하다. 또한 자동차용, 주거용, 상업용 윈도우 필름만을 생산하면서도 OEM 방식이 아닌 미국과 영국에 생산설비를 갖추고 있는 업계최초 ISO9001 인증 회사이기도 하다. 루마썬팅필름의 지정시공전문점인 압구정점 노승구 점장은 “루마 자동차용 필름은 유해한 자외선의 99%이상을 완벽하게 차단하고, 뜨거운 태양열의 50%이상을 차단하여 쾌적하고 편안한 운전을 도와준다”며 “특히 자동차전면유리용 필름은 유입되는 다량의 자외선과 열선을 차단해 에너지 절감 효과도 톡톡히 볼 수 있다”고 강조했다. 차량내부 온도 낮춰 에너지절감 태양광선은 차량내부의 온도를 높이는 원인이다. 자외선의 경우 열은 포함하지 않지만 유해파장으로 피부 손상과 차량 내장물을 탈색, 변색 시킬 수 있으며, 적외선은 열을 포함한 파장으로 차량의 각종 구성부품에 악영향을 줄 수 있다. 따라서 대부분의 차량이 측면과 후면 유리에 썬팅을 하고 있지만 전면유리를 통해 유입되는 자외선과 열선을 차단하지 않으면 반쪽 썬팅이라 말할 수 있다. 노승구 점장은 “루마필름은 일반썬팅에 사용하는 필름 10장을 붙여놓은 것과 같은 효과가 있다. 특히 실내표면 온도 비교 테스트 결과 일반 유리차량과 루마썬팅 부착차량의 온도차는 16℃ 정도 차이가 났다”며 “소비자들이 원하는 적절한 프라이버시도 보호해 주면서도 적외선(열)과 유해자외선을 확실히 차단시키는 고품질 필름으로 물론 운전에도 장애가 없다”고 강조했다. 특히 미국에서는 썬팅용 필름의 사용이 차량에만 국한되지 않고 전시장, 전원주택, 아파트, 상가 등의 전면유리에 사용함으로써 에너지 절감에 큰 비중을 두고 있다. 루마필름을 건물 유리에 부착함으로써 여름에는 실내온도가 많이 올라가지 않으며, 반대로 겨울에는 내부 공기가 쉽게 빠져나가지 않아 에너지절감에 큰 도움이 된다. 또한 거의 색깔이 들어가지 않아 육안으로는 썬팅 유무를 구분하기도 힘들만큼 선명도도 좋다. 노승구 점장은 “특히 차량의 경우 강력한 열 차단 효과로 여름에는 실내 에어컨 사용량을 훨씬 줄 일 수 있다”고 말했다. 강력한 접착력으로 안전성 높여 루마의 자동차용 필름 종류로는 태양열차단필름, 전면유리용 필름, 안전 방호용 필름이 있다. 안전방호용 필름은 일반 윈도우 필름에 비해 아주 강력한 접착력을 가지고 있어 유리의 강도를 10배 이상 높여 준다. 따라서 외부의 심한 충격이나 침입에 안전하게 대처할 수 있으며, 특히 사고 시 유리파편에 의한 부상을 최소화 할 수 있다. 또한 자동차의 경우 태양열의 40% 정도가 전면유리를 통해 유입되기 때문에 강력한 태양열차단 필름을 사용할 경우 네비케이션, GPS, DMB단말기, 휴대폰 등과 같은 전자장비들을 뜨거운 열로부터 보호할수 있다. 장비의 보호 뿐 아니라 이러한 전자장비들의 수신 장애도 최소화 할 수 있다. 노승구 점장은 “루마필름은 비금속, 비전도성 나노신소재의 사용으로 전자장비의 수신 장애 없이 최적의 기능을 발휘한다”며 “가격이 비싸다고 생각할 수 있지만 안전도 강화, 강력한 열차단으로 효과적인 냉난방, 자외선차단으로 웰빙이 보장되는 기능성 썬팅이라 할 수 있다”고 강조했다. 문의 (02)540-5800, www.llumar.co.kr 김미성 리포터 miskim98@hanmail.net 2. 차와 운전자는 일심동체! 아끼고 사랑해야~ 자동차 용품의 올바른 선택과 정밀시공 가능한 전문업체 선택은 필수 2010-06-01 오후 2:01:32 게재 이제 자동차는 생활필수품으로 우리 삶과 매우 밀접해졌다. 차테크란 말이 있을 정도로 자동차를 자산으로 생각하며 차 구입부터 타는 동안 최소비용으로 최대효과를 내려고 고심한다. 차는 사람이 관리하기에 따라 오랫동안 새 차처럼 탈수도 있으며 차의 기능에 따라 사람의 안전이 보장되기도 한다. 자동차에 선팅과 코팅을 하는 것은 자동차 수명을 늘리는 일이며 운전자의 안전과 건강을 지키는 일이기도 하다. 30년간 자동차 용품과 차 관리 서비스 분야에서 전문적인 기술을 보유하고 있는 (주)차크린. 지난해 압구정점에 이어 올해는 대치동 은마아파트 부근에 대치점을 열었다. 이곳에 효율적으로 코팅과 선팅을 할 수 있는 방법에 대해 자문을 구해보자. 자외선 차단의 필수품 ‘선팅’ 선팅은 외부에서 차 내부가 보이지 않게 하는 효과 외에도 불의의 사고에 유리가 깨져도 강한 인장력으로 유리파편 때문에 생기는 2차 사고의 피해를 줄인다. 자외선 차단으로 운전자와 동승자의 피부를 보호하고 차 내부의 변색도 막는다. 가시광선을 막아 야간 운전을 할 때 눈부심을 막아주며 단열효과로 여름철 차량 내부 온도를 6~7도 가량 낮춰 에어컨 가동 시간도 줄이고 쾌적하게 운전할 수 있게끔 해주기도 한다. 차크린에서 시공하는 ‘루마 자동차용 윈도우 필름’은 수입품으로 자외선을 99%, 태양열의 50% 이상을 차단한다. 특히 전면 유리용 필름인 루마윈콜은 99.9%의 자외선을 완벽하게 차단하고 뜨거운 열선차단으로 실내공간을 쾌적하게 해준다. 시야의 선명도가 우수해 야간 운전이나 비가 올 때도 안전하게 운전을 할 수 있다. 강력한 접착력으로 유리가 파손되어도 파편의 비산방지가 가능하다. 내비게이션이나 휴대폰의 전파 수신 장애가 없어 편리하다. 선팅 시공 시간은 앞 유리는 1시간~1시간 30분 옆과 후면 유리는 2~3시간 정도 소요된다. 비용은 제품에 따라 다소 차이는 있으나 앞 유리 25만원 내외, 옆과 후면 유리 19~52만원  선이다. 저가용 선팅은 차량과 인체에 피해줘 선팅은 운전자가 선팅 필름을 선택하고 시공을 결정하는 것보다 차를 구입할 때 차 판매 사원에게 선물로 받은 경우가 많다. 그래서 대부분의 운전자는 선팅 필름에 대해 아는 바가 없다. 차크린 노왕호 대표는 “저가 제품으로 선팅을 하면 자외선과 열차단율이 현저히 떨어지며 저가용 선팅을 할 때 사용하는 접착제 역시 품질이 낮아 재시공을 하기 위해 뒤 유리 선팅필름을 제거할 때 열선이 훼손되기도 한다”면서 “차량 구입만큼이나 선팅 필름 재질에 대해  신중하게 선택해야한다”고 강조했다. 물 세차만으로 광택 유지하는 반영구 코팅 차는 탈수록 아무리 세차를 열심히 해도 빛이 나지 않고 뿌옇게 변한다. 아직도 지하 주차시설이 없는 강남의 아파트에 세워둔 차량은 산성비, 눈, 바람, 제설제 등에 노출되어 있는 시간이 많아 부식은 계속 진행된다. 또한 새똥, 꽃가루 등이 차 표면에 떨어지면 차가 변색되고 자동 세차를 할 때 차 표면에 잔 흠집이 생기기도 한다. 또 시간이 흐르면서 차의 광택도 사라진다. 자동차에 유리막을 입히는 신개념 코팅인 ‘쿼츠 글라스 코팅(Quartz Glass Coating)’은 차 표면에 고경도의 유리막을 형성하는 코팅으로 일명 유리막 코팅으로 불린다. 이 방식에 쓰이는 소재는 일본에서 개발된 최첨단 신소재로 코팅 할 때 페인트 보호는 물론이고 광택도 반영구적으로 유지시킨다. 또한 오염물질의 부착을 근본적으로 방지하고 물 세차만으로도 항상 신차와 같은 광택을 유지시킨다. 쿼츠 글라스 코팅은 기본적으로 친수성을 갖고 있어 세정제 없이 세정이 가능하 고 스프레이 분무만으로 코팅이 가능하므로 넒은 범위를 손쉽게 시공할 수 있다. 특히 스프레이 도장으로 자동차 차체의 구석구석까지 코팅이 가능하다. 노 대표는 “별도의 접착물질 없이 표면에 직접 유리막을 형성하므로 반영구적으로 코 팅효과가 지속될 수 있다”면서“차를 보통 3~5년 정도 탄다고 볼 때 5년 정도는 유지된다”고 설명한다. 이 코팅의 효과로는 정전기 방지 및 표면개선 효과와 먼지, 오염물질 등이 묻는 것을 방지하며 세차나 고속 주행 시에 발생하는 스크래치도 막을 수 있다. 산성비, 새똥, 제설제 등에 의한 변색이나 부식도 방지되며 직사광선으로 인한 페인트 탈색이나 변색도 막을 수 있다. 작업시간은 새 차는 3~4시간, 3년 이내의 중고차는 4~5시간 소요된다. 오전에 맡기는 차는 대게 오후에 찾아갈 수 있다. 비용은 40만원~80원 선으로 차종에 따라 차등이 있다. 문의 차크린 대치점(02)552-9100 압구정점(02)540-5800 이희수리포터naheesoo@dreamwiz.com"
20,주한미국대사 루마썬팅필름 전시관 방문,2010.02.19,5939,-
19,11월 DMB 광고 방송 큐시트 입니다.,2009.11.04,5791,"U KBS를 비롯 7개 채널 422회 광고방송되고 있습니다.

자외선에 강한 루마필름!!

DMB에서 확인하세요!!!"
18,10월 DMB 방송 큐시트 입니다.,2009.10.10,5731,10월 DMB방송 큐시트 입니다.
17,노년시대 신문에 실린 대표이사 인터뷰,2009.10.06,5664,"김우화 미오림복지재단 이사장 
전 재산 사회환원 ‘작은 거인’…“소외된 이웃 돕는 것이 천명”

 [188호] 2009년 09월 25일 (금) 	장한형 기자  janga@nnnews.co.kr

뜻밖의 형 죽음에 ‘천명’ 깨닫고 장애인•노인시설 설립해 
지금껏 50억원 투자… 대학원만 18곳 나온 억척 공부벌레 
“탄탄한 기초 구축, 후손 대대 물려 많은 사람 돕게 할 것” 

한국은 급속한 고령화 속에서 다양한 사회변화를 겪고 있다. 그 가운데 빼놓을 수 없는 것이 노인의 주거변화다. 지난해부터 노인장기요양보험제도가 실시되면서 과거 ‘양로원’으로 불렸던 노인요양시설이 기하급수적으로 늘어났다. 2008년말 현재 전국 노인양로시설은 모두 1332개소. 이곳에 1만8868명의 어르신들이 입소해 있다. 우후죽순 증가하는 노인요양시설에 대한 우려도 높다. 자칫 돈벌이에 급급한 나머지 어르신들에 대한 서비스나 관리는 도외시 될 수 있기 때문이다. 그런데, 오히려 평생 모은 재산을 쏟아 부어 노인요양시설을 세우고 노인복지현장에 뛰어든 이가 있어 관심을 끌고 있다. 경북 문경시 마성면에 자리한 미오림복지재단을 설립한 김우화(62) 이사장이다.


김우화 이사장이 사회복지재단을 설립하고, 노인요양사업에 투신한 것은 안타까운 사건이 전환점이 됐다. 국내 굴지의 공대를 졸업하고 건설회사에서 전기기술자로 일하던 형이 건설현장도 아닌 자택에서 감전으로 세상을 떠난 것. 김 이사장은 당시의 사고를 가슴 절절히 기억하고 있다. “정말 믿기지 않았다. 전기 분야에서 장인 타이틀도 갖고 있던 형이 집에서 감전돼 돌아가셨다는 사실이 믿기지 않았다.” 

너무 허망하고 안타까웠다. 인간사, 모든 일이 하늘의 뜻이라지만 갑작스런 사고에 어안이 벙벙했다. “그렇게 얼마나 지냈을까, 문득 사회에 봉사하라는 뜻이라고 생각해 재단을 설립하게 됐다.” 

‘미오림복지재단’. 그가 현재 가족과 함께 열과 성을 다해 가꾸고 있는 사회복지재단이다. ‘미오림’이란 기적을 뜻하는 ‘미라클’(miracle)과 오리가 숲으로 들어가는 형상, 그리고 ‘드림’(dream)에서 따온 말로, 사회복지학을 공부한 딸 민정(30)씨가 지었다. 

부지는 노후를 보내기 위해 매입한 경북 문경의 11만57000m²(3만5000평) 땅에 마련했다. 하지만 재단설립은 호락호락하지 않았다. 김 이사장은 “지방공무원들과 마찰이 생겼고, 당시 현직 시장이 복지재단을 설립하면서 허가가 되질 않아 행정심판을 청구하는 등 큰 어려움을 겪었다”고 회상했다. 

우여곡절 끝에 2003년 9월 ‘미오림복지재단’의 설립허가를 받았다. 이듬해 2월 경북 문경시 사회복지시설 제1호로 장애인복지시설 ‘친구마을’을 개원했다. 자택에서 홀로 지내던 장애인들이 모여 서로 ‘친구’가 돼 ‘마을’을 이루는 장애인보호작업장이다. 낮에 돌볼 사람이 없는 지역 장애인들을 모아 공동작업을 통해 재활치료를 겸하고, 저녁에 집으로 돌아가는 방식으로 운영되고 있다. 

친구마을에서는 정신지체 장애인과 지도교사 3~4명이 1시간 정도 운동을 하고, 봉투에 풀을 붙이는 작업이나 쇼핑백 만드는 작업을 한다. 하루 100~200원 정도의 수입은 각자 통장에 입금해 준다. 한번은 ‘국가지원을 받아서 장애인들을 착복한다’는 신고가 접수돼 경찰관들이 출동한 적도 있었다. 하지만 사회복지시설의 기능과 필요성을 이해하지 못했던 주민들의 오해는 그리 오래가지 않았다. 

“장애인 가족을 둔 주민들의 대환영은 물론이었고, 집에 가기 싫다며 떼를 쓰는 장애우 아이들을 볼 때마다 참으로 잘 한 일이라는 생각이 들었다.” 

김우화 이사장은 내친김에 노인요양시설도 짓기로 했다. 그래서 세운 곳이 2008년 4월 준공한 ‘봄마을’이다. 입소하는 어르신들께 따뜻한 봄을 느끼게 해 드리고 싶어 붙인 이름이다. 

봄마을의 원장은 아내 이순례(54)씨다. 약대를 나와 20여년 동안 약국을 경영하던 아내는 사회복지사업에 뛰어든 남편의 가장 든든한 후원자다. 남편의 뜻에 동의한 아내는 약국 문을 닫고 일주일에 3일 이상을 문경에 머물며 ‘자원봉사’를 하고 있다. “아내에게 매달 170만원의 월급이 주어지지만, 고스란히 재단운영을 위해 쓰고 있어 ‘자원봉사’라고 하는 것이 옳다.” 

이화여대 대학원에서 사회복지학을 공부하고 현재는 평생대학원 유아학과를 다니고 있는 딸 민정씨의 도움도 크다. 

그런데, 김우화 이사장은 고집스럽게도 정부의 지원을 받지 않는다. “스스로 자생해야 한다”는 원칙을 세웠기 때문이다. 그의 굳은 신념을 아는 지인들이 알음알음 후원을 자청, 현재 700여명의 후원자들이 돕고 있다. 

그렇다고 넉넉한 살림을 기대하기는 어렵다. 매달 2000~3000만원이 적자다. 노인요양시설 ‘봄마을’의 경우 50명 정원에 최근 35명 정도가 생활하고 있다. 지난해부터는 장기요양보험제도가 시행돼 그나마 재단운영이 조금은 나아졌다. 입소 어르신 가운데 1급은 143만원, 2급은 141만원 정도를 장기보험을 통해 지급받아 28명의 직원들에게 임금을 지급하고, 시설운영을 하고 있다. 직원들의 월급이 적으니 당연히 이직률도 높고 구인도 힘들다. 

어려운 살림이 김우화 이사장의 의지를 꺾지는 못했다. 보통 한 방에 6명의 어르신들이 생활하는 것이 국내 요양시설의 관례지만 3명이 들어가도록 설계한 것부터 다르다. 

또 국내 노인요양시설 가운데 최초로 봄마을이 국제표준화규격(ISO) 인증을 얻는다는 방침도 세웠다. 입소 어르신들에게 찬송가를 불러주거나, 아예 직원 합창단을 꾸려 자체 공연도 한다. 격주로 휠체어에 모시고 야외에서 음식과 함께 즐거운 시간을 갖기도 한다. 

김우화 이사장은 “시설과 서비스 측면에서 국내 최고 수준을 유지하는 것이 목표다. 각고의 노력한 끝에 많은 성과를 거두고 있다. 이름만 대면 다 알만한 재벌기업의 장모도 입소해 생활하고 있다”고 귀띔했다. 
하지만, 이왕 시작한 이상 제대로 해보려는 욕심이 그를 재촉하고 있다. 

“미오림복지재단에 쏟아 부은 유형무형의 자산이 대략 50억원쯤 된다. 그런데 셈해보니 앞으로 20억원은 더 들여야 할 것 같다. 지인들은 다들 ‘미친 것 아니냐’는 반응을 보인다. 하지만 두세 명은 참 잘한 일이라고 격려해 위안을 삼고 있다.” 

그는 공부에도 남다른 열정을 갖고 있다. 고려대에서 행정학을 전공하고, 지금까지 모두 18곳의 대학원을 다녔다. 1년에 평균 2곳에 나갔고, 지금도 대학원을 다니고 있다. 

“한 살 두 살 나이를 먹을수록 공부도 못하겠더라. 최고경영자과정에 가면 이제는 고령자에 속해 고문역할을 맡는다. 과거에는 60대가 주력이었지만 최근에는 40•50대가 그 자리를 차지하고 있다.” 

2005~2007년 문경대학에서 아내와 함께 공부해 사회복지사는 2급 자격증을 취득했고, 보육교사는 1급 자격증도 갖고 있다. 공부하는 것이 재미있다는 그는 한 달에 조찬회만 7~8회 나갈 정도로 왕성한 활동을 이어가고 있다. 

그가 사회복지사업을 통해 ‘공부’한 것은 따로 있었다. 바로 ‘빈손으로 왔다 빈손으로 가는 겸허한 마음’이다. 

“죽음이란 룰을 가진 게임은 누구에게나 공평하다. 누구도 예외 없이 적용 받는 것이 죽음이다. 기저귀 차고 나와서 기저귀 차고 가는 것이 인생 아니겠는가.” 

대부분 일평생 열심히 모아 자녀들에게 재산을 물려주고 죽음을 맞이하고 싶어 한다. “빈손으로 왔다 빈손으로 가는 인생, 그리 집착할 일은 아니다”고 말하는 김 이사장은 “7•3법칙을 아느냐”고 질문했다. 

“내가 가진 것의 70%는 남에게 베푸는 것이고, 나머지 30%는 현재 내 위치, 내 분야에서 열심히 일해 남을 돕도록 노력하는 것이 7•3법칙이다.” 

재산을 물려주는 것보다는, 사회복지법인을 후손에 대물림해 보다 많은 사람들을 위해 봉사하는 것이 김우화 이사장이 선택한 ‘7•3법칙’인 셈이다. 

김우화 이사장은 “봉사를 하다보면 큰 보람을 느낀다. 현재 운영하고 있는 장애인보호시설과 노인요양시설 외에 장애인생활시설을 하나 더 마련해 복합적으로 봉사를 하고 싶다. 내가 이 세상에 없더라도 이들 시설이 원활하게 운영될 수 있도록 살아 있는 동안 기초를 다지는 것이 가장 중요한 나의 임무”라고 말했다.

원문보기 링크

http://www.nnnews.co.kr/news/articleView.html?idxno=10515"
16,TBC (대구 경북 방송) 라디오에서 방송되고 있는 루마 광고 입니다.,2009.09.29,5551,"[대구,구미,경북] 99.3Mhz 
[포항,경주] 99.7Mhz 
[안동,영주,문경등 경북 북부] 106.5Mhz 

CM내용

비교를 허락하지 않는다.

루마 자동차 썬팅필름!

이름만 들어도 품질과 자부심이 느껴집니다

차는 달라도 썬팅은 하나!

루마 자동차 썬팅 필름

품질로 인정받은 루마자동차 썬팅 필름

루마공식인증업체에서만 시공하실 수 있습니다.

1577-1887"
15,구미 내일신문 797호 구미송정점 오범철 대표 인터뷰기사,2009.07.14,5781,구미지역의 유력신문인 구미내일신문 797호에 구미송정점 오범철 점주님의 인터뷰 기사가 실렸습니다. 루마썬팅의 특징과 우수성을 지역 소비자들에게 제대로 알린 좋은 내용의 기사입니다. 모쪼록 많은 점주님들과 고객님들의 아낌없는 격려와 성원을 부탁드립니다.
14,루마CF제작 및 DMB광고 On-Air,2009.04.18,5910,세계 최대의 윈도필름 메이커인 미국CPFilms Inc.에서 생산된 세계적인 브랜드 루마필름에서 루마필름 CF를 제작하였으며 자동차와 밀접한 관련이 높은 DMB 매체에 4월16일 부터 광고가 방송된다. 이번에 제작된 루마필름 CF는 올바른 선팅필름 선택을 위한 두 가지의 메세지를 전하고 있다. 자외선과 필름의 선명도가 바로 그것이다. 자외선차단과 선명도는 윈도필름 선택의 가장 중요한 첵크사항이다. 루마필름의 완벽한 자외선차단효과는 오랜 시간이 지나도 그 차단효과가 유지되며 시인성이 높은 선명도는 흐린 날은 물론 야간운전에도 안전을 제공한다. 썬팅필름을 선택하는 소비자들이 이번 광고를 통해 루마필름이 전하는 올바른 필름선택요령으로 언제나 편안하고 안전한 자동차문화가 될 것을 기대한다.
13,2009서울모터쇼 루마 전시참가 소식,2009.04.08,5227,주한미국대사 스티븐스 루마썬팅필름 전시관 방문 관련소식
12,루마체육대회소식,2008.12.05,5539,"부산경남 루마협의회가 주관하고 
부산,경남,울산지역의 루마점 관계자 및 온 가족이 참석한 
""루마가족체육대회""가 
2008년 11월23일 경남양산 해운공원 실내체육관에서 성대하게 열렸다.

이번행사의 대회장이자 루마부산경남협의회 조해식대표는 개회사를 통해 
""모두가 하나""되는 역사적인 순간을 맞이하여 
서로 믿고 따라 준 부산경남 루마점의 전폭적인 신뢰와 지원에 감사하면서,
 이 시대의 진정한 최고의 자리에 설 수 있는 루마점이 될 수 있도록 헌신을 다 할 것을 공포하였다.
루마본사의 김우화ceo는 축사를 통해 
루마발전의 중추적인 역할을 담당해온 이 지역 루마점의 노고를 치하하면서 
어려운 시기일지라도 할 수 있다는 자신감과 
루마브랜드에 대한 자부심을 잃지 말 것을 당부하셨다.

루마본사 임직원 및 관련업계 참관단을 모시고 열린 이번행사는 
가족단위의 다양한 프로그램을 통해 
가장으로서의 역할과 가정의 소중함을 절실하게 깨달았고, 
지역별 체육대회를 통해 루마점간의 결속력을 강화하는 계기가 되었다. 
행사의 막바지인 장기자랑에서는 그동안 숨겨둔 끼를 마음껏 발산하며 
모두가 한 마음되는 즐거움과 기쁨, 감동의 연속이었다.

약 1달간의 준비기간을 거쳐 마련한 이번행사는 
행사일 전까지도 궂은 날씨와 낮은 기온으로 준비위원회가 노심초사 하였지만 
행사당일은 날씨마저 화창하고 포근하여 축복받은 루마가족체육대회가 치러질 수 있었다.

이번 루마가족체육대회를 통해 루마의 결속력과 루마브랜드에 자부심, 
성공적인 사업의 비전을 가짐으로 2008년에 이은 
2009년 루마의 성공을 확신한다."
11,2008 SAS 루마 보도자료,2008.07.14,6221,"고유가 시대 ‘그린 튜닝’ 눈길 [KBS 뉴스 박상범기자] 자동차 튜닝도 에너지 절감이 화두 [YTN 이병식기자] 자동차 튜닝도 에너지 절감이 화두 동영상 기사 보기 [YTN 이병식기자] 루마, 유리 강도 10배 높여주는 필름 선보여 [AVING.net 박찬규 기자] [2008서울오토살롱] 루마필름 ""차량범죄 걱정 마세요"" [지피코리아 김기홍기자] [사진]'2008서울오토살롱 축제 공연' [OSEN(www.osen.co.kr)] [동영상] 2008 서울오토살롱 개막 [디지털데일리 김경태 기자] 익스트림걸즈 인기폭발 ""사인을 받아라!"" [네이션코리아 이청원기자] 인기짱 구지성 토끼소녀로 변신?! [네이션코리아 이청원기자] 익스트림걸즈 황인지의 S라인 [네이션코리아 이청원기자] '호기심 가득한' 표정의 레이싱 모델 [고뉴스 박종각기자] [포토on] 익스트림걸즈가 함께 하는 무대 [세계일보 황재원 객원기자] [서울오토살롱] 익스트림즈걸 팬사인회 열어 [지피코리아 김기홍기자]"
10,루마! 2008서울오토살롱 전시회참가,2008.06.26,5644,"2008 서울오토살롱 전시회 참가관련 보도자료입니다.
[2008 서울오토살롱] 2008.6월
자외선, 열, 돌조각까지 막아주는 차량필름
차와 운전자 보호하는 루마필름, 서울오토살롱에 출품
- 루마필름, 외부 유해물질 차단은 물론 범죄예방효과도 있어

차량용 필름 세계판매 1위인 루마필름(LLumar Film www.llumar.co.kr)이 7월 10일부터 4일간 코엑스 태평양홀에서 열리는 ‘2008 서울오토살롱’에 참가해 태양의 유해광선과 열을 차단하고 안전 및 방범 기능을 강화한 애프터마켓용 자동차 필름제품을 선보인다.

루마필름은 이번 2008 서울오토살롱 전시회에 ‘루마 자동차 썬팅필름’, ‘루마 자동차용 안전/방호 필름’, ‘루마 자동차 외장 보호용 필름’ 등 운전자와 자동차 외장을 보호하는 기능이 있는 필름제품들을 전시하게 된다.

‘루마 자동차 썬팅 필름’은 차량 외부로부터 들어오는 자외선을 차단하고 눈부심 현상을 줄여 운전 피로도를 감소시킨다. 또한, 여름철 차내 온도가 급격히 상승해 냉방 에너지 효율이 떨어지지만, 루마필름은 열차단 기능이 있어 시원한 차내 환경을 만들어 주고, 냉방 소비하는 에너지를 절약함으로써 연비개선의 효과까지 발휘한다.

‘루마 안전/방호 필름’은 차량의 안전을 강화시키는 기능도 있다. 이 제품은 유리비산 방지기능이 있어 자동차 추돌 사고 시 깨진 유리조각에 의한 2차 부상을 최소화 시킨다. 또, 측면 유리창이 쉽게 깨지지 않아 도난범죄 시간을 지연시킨다.

유리창에 부착하는 필름 외에 차량의 흠집발생을 예방하고 표면을 매끄럽게 하는 ‘루마 자동차 외장 보호용 필름’도 선보인다. 고속 주행 시 작은 돌 조각이나 모레로 인해 자동차 표면이나 헤드라이트에 흠집이 생기기 쉬운데 우레탄 재질로 된 루마필름을 부착하게 되면 이를 방지할 수 있다.

ISO9001인증 업체인 루마필름은 침염식 염색법(Deep-Dyeing)의 독보적 기술을 보유하고 있으며 현재 전국 150여 개 전문 시공점에서 시공되고 있다. 


한편, 올해로 6회째를 맞는 2008서울오토살롱은 오는 7월 10일(목)부터 13일(일)까지 4일간, 서울 삼성동 코엑스 1층 태평양 홀에서 열린다. 이번 행사는 국내 최대의 애프터 마켓 및 튜닝 산업 전시회로 150 여 개 업체가 참가해 역대 최대 규모로 진행될 예정이다.

1. 2008 서울오토살롱 

- 명 칭 : 2008 서울오토살롱 (SAS 2008)
  - 기 간 : 2008.7.10(목) - 13(일), 4일간
  - 장 소 : 코엑스 1층 태평양홀
  - 주 최 : 서울오토살롱 조직위원회 
- 주 관 : ㈜서울메쎄 ID, ㈜자동차생활
  - 후 원 : 국토해양부, 한국무역협회, 대한무역투자진흥공사, 교통관리공단, 도로교통공단, 
              자동차공학회, 한국자동차튜닝문화포럼, 한국자동차튜닝연협회, 한국자동차경주협회, 
              ㈜하우스버그, 자동차동호회연합 외 
- 전시품목:
• 차량관련: 슈퍼카 / 튜닝카 / 모터스포츠 / 타이어&휠
• 멀티미디어관련: 카오디오 부품 및 제품 / DMB, 네비게이션, 텔레메틱스 및 관련 IT 제품
• 오토서비스관련: 주유소, 정비소, 중고차 및 관련서비스 외
• 용품/부품관련: 시트 및 매트 / 차량관리 용품 / 외장 용품 / 인테리어 용품 / 차량편의용품 / 청소/세차용품 / DIY용품 / 램프 외
- 부대행사:
해외 튜닝 슈퍼카 전시 / 튜닝카 페스티벌 / 튜닝디자인 컨테스트 / 제6회 레이싱 퀸 선발대회 / 레이싱모델 포토 페스티벌 / 시뮬레이션 게임 컨테스트/ 레이싱카 시승 및 체험대회 / 튜닝 컨퍼런스 및 세미나 외"
9,[AVING News]LLumar 부스 이벤트 행사로 인기몰이,2008.05.08,5078,"LLumar 부스 이벤트 행사로 인기몰이
All Visual Internet News of Goods 오세경 객원기자(aving.net) 관련기사 보러가기 Click!"
8,루마 이벤트 소식,2008.04.02,4965,"세계최고의 윈도필름 브랜드인 루마필름에서 2008부산국제모터쇼 참가와 관련하여 2008루마이벤트를 실시합니다. 이번 이벤트에는 루마회원고객을 대상으로 퀴즈이벤트와 포토제닉 이벤트를 실시하는데 응모자 및 당첨자에게 푸짐한 경품을 제공합니다. 또한 2008부산모터쇼와 함께 할 루마서포터즈를 모집합니다. 루마서포터즈는 남다른 열정과 노력을 가진 다양한 특기를 가진 젊은이들이면 모두 신청이 가능하며 전시회를 통해 새로운 경험과 루마브랜드에 대한 명성을 확인할 수 있습니다. 루마서포터즈로 선발된 회원에게는 다양한 볼거리와 풍성한 기념품을 지급할 예정입니다.
문의 (02)2213-1545"
